Title,Company,Experience,Salary,Location,Rating,Reviews,Posted,Link
Data Analyst - (Immediate Joiners preferred),Capita,1-5 Yrs,Not Disclosed,"Hybrid - Pune, Mumbai (All Areas)",3.5,2694  Reviews,1 week ago,https://www.naukri.com/job-listings-data-analyst-immediate-joiners-preferred-capita-pune-mumbai-all-areas-1-to-5-years-140526016202
Data Analyst,Capgemini,4-9 Yrs,Not Disclosed,"Hybrid - Chennai, Delhi / NCR, Mumbai (All Areas)",3.6,54214  Reviews,3 weeks ago,https://www.naukri.com/job-listings-data-analyst-capgemini-chennai-delhi-ncr-mumbai-all-areas-4-to-9-years-021225014173
Data Analyst,Snapdeal,1-6 Yrs,Not Disclosed,Gurugram,3.5,673  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-jasper-infotech-pvt-ltd-gurugram-1-to-6-years-221025507695
Data Analyst,Kiya.ai,3-7 Yrs,5-11 Lacs PA ,"Hybrid - Bengaluru, Mumbai (All Areas)",3.9,644  Reviews,3 days ago,https://www.naukri.com/job-listings-data-analyst-kiya-ai-bengaluru-mumbai-all-areas-3-to-7-years-200326006395
Data Analyst - Tableau/Looker/Salesforce (Remote),Indium Software,2-5 Yrs,12-16 Lacs PA ,Remote,3.9,1372  Reviews,2 weeks ago,https://www.naukri.com/job-listings-data-analyst-tableau-looker-salesforce-remote-indium-software-hyderabad-2-to-5-years-020626009571
Data Analyst,MNC,0-2 Yrs,2.75-5 Lacs PA ,"Pimpri-Chinchwad, Pune",N/A,N/A,1 day ago,https://www.naukri.com/job-listings-data-analyst-tele-infotech-pimpri-chinchwad-pune-0-to-2-years-150626039855
Data Analyst,MNC,0-1 Yrs,2.5-5 Lacs PA ,"Pimpri-Chinchwad, Pune",N/A,N/A,5 days ago,https://www.naukri.com/job-listings-data-analyst-tele-infotech-pimpri-chinchwad-pune-0-to-1-years-100626038034
Data Analyst,MNC,0-2 Yrs,2-5 Lacs PA ,"Pimpri-Chinchwad, Pune",N/A,N/A,1 week ago,https://www.naukri.com/job-listings-data-analyst-tele-infotech-pimpri-chinchwad-pune-0-to-2-years-070626005868
Data Analyst,Codinglimits Nellore,0-1 Yrs,Not Disclosed,"Hyderabad, Chennai, Bengaluru",N/A,N/A,1 day ago,https://www.naukri.com/job-listings-data-analyst-codinglimits-nellore-hyderabad-chennai-bengaluru-0-to-1-years-150626016881
Data Analyst,ti Steps,0-2 Yrs,3-4 Lacs PA ,"Hyderabad, Chennai, Bengaluru",3.9,18  Reviews,1 day ago,https://www.naukri.com/job-listings-data-analyst-ti-steps-hyderabad-chennai-bengaluru-0-to-2-years-300825010580
Walk-in || Data Analyst/AI-ML,Codepanda Academy,N/A,4.5-9.5 Lacs PA ,N/A,4.5,3  Reviews,6 days ago,https://www.naukri.com/job-listings-data-analyst-ai-ml-codepanda-academy-noida-new-delhi-gurugram-1-to-6-years-100626018328
Data Analyst,CGI,4-9 Yrs,8-16 Lacs PA ,Hybrid - Hyderabad,4.0,5499  Reviews,1 day ago,https://www.naukri.com/job-listings-data-analyst-cgi-hyderabad-4-to-9-years-150626029093
Walk-in || Data Analyst,Dunboxed,N/A,5-13 Lacs PA ,N/A,4.0,14  Reviews,1 day ago,https://www.naukri.com/job-listings-data-analyst-dunboxed-hyderabad-2-to-6-years-150626014520
Data Analyst,Vilican Technologies Pvt. Ltd.,0-2 Yrs,2-3 Lacs PA ,Aurangabad(Shendra MIDC),3.5,29  Reviews,Today,https://www.naukri.com/job-listings-data-analyst-vilican-technologies-pvt-ltd-aurangabad-0-to-2-years-160626014633
Data Analyst,Iide Education,1-4 Yrs,2.25-6 Lacs PA ,Mumbai(Lower Parel West),4.0,139  Reviews,Today,https://www.naukri.com/job-listings-data-analyst-iide-education-mumbai-1-to-4-years-160626009517
Data Analyst,Careernet,10-15 Yrs,Not Disclosed,Bengaluru,N/A,N/A,1 day ago,https://www.naukri.com/job-listings-data-analyst-careernet-bengaluru-10-to-15-years-150626016461
Data Analyst,Client of Markmakers,0-3 Yrs,Not Disclosed,Remote,N/A,N/A,Few hours ago,https://www.naukri.com/job-listings-data-analyst-mark-makers-consultancy-services-gurugram-0-to-3-years-160626032383
Data Analyst,Akal Information Systems,2-6 Yrs,Not Disclosed,"Bengaluru, Delhi / NCR, Mumbai (All Areas)",N/A,N/A,Today,https://www.naukri.com/job-listings-data-analyst-akal-information-systems-bengaluru-delhi-ncr-mumbai-all-areas-2-to-6-years-160626023201
Walk-in || Data Analyst,Leading Bank,N/A,10-18 Lacs PA ,N/A,N/A,N/A,1 day ago,https://www.naukri.com/job-listings-data-analyst-dream-solution-indore-mumbai-5-to-10-years-080626009241
IRR Liquidity PBR Data Analyst,Krazy Mantra It,6-10 Yrs,Not Disclosed,Pune,3.7,93  Reviews,1 day ago,https://www.naukri.com/job-listings-irr-liquidity-pbr-data-analyst-krazy-mantra-it-pvt-ltd-pune-6-to-10-years-150626500396
Data Analyst,ABB,2-4 Yrs,Not Disclosed,Bengaluru,4.0,3452  Reviews,1 week ago,https://www.naukri.com/job-listings-data-analyst-abb-india-limited-bengaluru-2-to-4-years-050626924288
Data Analyst,SkillLabs,0-1 Yrs,3-3.75 Lacs PA ,Ludhiana,N/A,N/A,Few hours ago,https://www.naukri.com/job-listings-data-analyst-skilllabs-ludhiana-0-to-1-years-160626028389
Data Analyst,SkillLabs,0-1 Yrs,3-3.75 Lacs PA ,Jaipur,N/A,N/A,Few hours ago,https://www.naukri.com/job-listings-data-analyst-skilllabs-jaipur-0-to-1-years-160626026442
Data Analyst,SkillLabs,0-1 Yrs,3-4.5 Lacs PA ,Gurugram,N/A,N/A,Few hours ago,https://www.naukri.com/job-listings-data-analyst-skilllabs-gurugram-0-to-1-years-160626026732
Data Analyst,Moder Solutions,1-6 Yrs,3-7 Lacs PA ,Bengaluru,3.4,328  Reviews,6 days ago,https://www.naukri.com/job-listings-data-analyst-moder-solutions-bengaluru-1-to-6-years-100626024240
Data Analyst,Grant Thornton,2-4 Yrs,3-4 Lacs PA ,Gandhinagar,N/A,N/A,5 days ago,https://www.naukri.com/job-listings-data-analyst-shell-infotech-gandhinagar-2-to-4-years-110626015770
Procurement Data Analyst,Empoweringcpo Services,1-3 Yrs,3-4.5 Lacs PA ,Ahmedabad(South Bopal),4.0,16  Reviews,1 week ago,https://www.naukri.com/job-listings-procurement-data-analyst-empoweringcpo-services-ahmedabad-1-to-3-years-200225026116
Data Analyst,Client of Talent Corner,2-4 Yrs,4-8 Lacs PA ,Bengaluru,N/A,N/A,5 days ago,https://www.naukri.com/job-listings-data-analyst-talent-corner-hr-services-bengaluru-2-to-4-years-110626028847
Data Analyst,the Sleep Company,2-3 Yrs,Not Disclosed,Mumbai(Jogeshwari West),4.2,311  Reviews,5 days ago,https://www.naukri.com/job-listings-data-analyst-the-sleep-company-mumbai-2-to-3-years-110626008188
Data Analyst,bp,3-6 Yrs,12-15 Lacs PA ,Hybrid - Pune,3.7,736  Reviews,5 days ago,https://www.naukri.com/job-listings-data-analyst-bp-pune-3-to-6-years-100626036175
Data Analyst,Inito,1-3 Yrs,Not Disclosed,Bengaluru,3.7,17  Reviews,4 days ago,https://www.naukri.com/job-listings-data-analyst-inito-bengaluru-1-to-3-years-120626502943
Data Analyst,Pinkerton,2-5 Yrs,Not Disclosed,Gurugram,3.6,267  Reviews,4 days ago,https://www.naukri.com/job-listings-data-analyst-pinkerton-gurugram-2-to-5-years-120626006701
Data Analyst,SKP Knowledge Services,1-2 Yrs,Not Disclosed,Erode,N/A,N/A,1 week ago,https://www.naukri.com/job-listings-data-analyst-skp-knowledge-services-pvt-ltd-erode-1-to-2-years-090626503039
Data Analyst,Fairdeal Market,2-4 Yrs,Not Disclosed,Gurugram,3.5,24  Reviews,5 days ago,https://www.naukri.com/job-listings-data-analyst-fairdeal-market-gurugram-2-to-4-years-110626504899
Data Analyst,Northern Arc Capital,2-4 Yrs,7-10 Lacs PA ,Chennai,3.7,218  Reviews,6 days ago,https://www.naukri.com/job-listings-data-analyst-northern-arc-capital-chennai-2-to-4-years-100626020970
Data Analyst,AMS,2-7 Yrs,Not Disclosed,Hybrid - Pune(Koregaon Park Annexe),N/A,N/A,6 days ago,https://www.naukri.com/job-listings-data-analyst-ams-pune-2-to-7-years-100626021190
Data Analyst,Prospect Info Solution,1-5 Yrs,Not Disclosed,Noida,N/A,N/A,6 days ago,https://www.naukri.com/job-listings-data-analyst-prospect-info-solution-noida-1-to-5-years-100626505721
Data Analyst,Share India Fincap Pvt Ltd.,2-5 Yrs,3.5-5 Lacs PA ,Noida(Sector 64),3.8,150  Reviews,5 days ago,https://www.naukri.com/job-listings-data-analyst-share-india-fincap-pvt-ltd-noida-2-to-5-years-110626018701
Data Analyst,Innova Solutions,7-12 Yrs,Not Disclosed,"Hybrid - Hyderabad, Bengaluru, Greater Noida",3.3,1196  Reviews,4 days ago,https://www.naukri.com/job-listings-data-analyst-innova-solutions-hyderabad-bengaluru-greater-noida-7-to-12-years-280426010915
Data Analyst,Careernet,5-8 Yrs,Not Disclosed,Hybrid - Hyderabad,N/A,N/A,4 days ago,https://www.naukri.com/job-listings-data-analyst-careernet-hyderabad-5-to-8-years-120626011886
Fresher - Data Analyst,Gravitix Tech Solutions Inc,0-1 Yrs,Not Disclosed,Visakhapatnam,N/A,N/A,5 days ago,https://www.naukri.com/job-listings-fresher-data-analyst-gravitix-tech-solutions-inc-visakhapatnam-0-to-1-years-110626504564
Data Analyst,Siemens Healthcare,3-8 Yrs,Not Disclosed,Bengaluru,4.0,382  Reviews,1 day ago,https://www.naukri.com/job-listings-data-analyst-siemens-healthcare-bengaluru-3-to-8-years-150626500949
Data Analyst,Cognizant,4-9 Yrs,Not Disclosed,Hybrid - Hyderabad,3.7,62198  Reviews,Today,https://www.naukri.com/job-listings-data-analyst-cognizant-hyderabad-4-to-9-years-080626002493
Data Analyst,Bima Kavach,1-3 Yrs,Not Disclosed,Bengaluru,4.2,22  Reviews,1 week ago,https://www.naukri.com/job-listings-data-analyst-bimakavach-bengaluru-1-to-3-years-030626501531
Data Analyst,CES LTD,3-6 Yrs,Not Disclosed,Hybrid - Hyderabad,3.3,421  Reviews,1 week ago,https://www.naukri.com/job-listings-data-analyst-ces-ltd-hyderabad-3-to-6-years-030626018814
Walk-in || Data Analyst - Immediate,Chola,N/A,Not Disclosed,N/A,3.8,6779  Reviews,Few hours ago,https://www.naukri.com/job-listings-data-analyst-immediate-chola-chennai-5-to-10-years-160626031631
Data Analyst,Incedo,3-6 Yrs,Not Disclosed,Gurugram,2.9,1375  Reviews,1 day ago,https://www.naukri.com/job-listings-data-analyst-incedo-gurugram-3-to-6-years-150626021800
Data Engineer/ Data Analyst,Varaha Systems,2-4 Yrs,Not Disclosed,Bengaluru,N/A,N/A,Today,https://www.naukri.com/job-listings-data-engineer-data-analyst-varaha-systems-inc-bengaluru-2-to-4-years-160626500759
Data Analyst,TMF Group,4-9 Yrs,Not Disclosed,"Hybrid - Pune, Bengaluru, Delhi / NCR",3.8,365  Reviews,5 days ago,https://www.naukri.com/job-listings-data-analyst-tmf-group-pune-bengaluru-delhi-ncr-4-to-9-years-140526020663
Data Analyst,Tata Consultancy Services,8-12 Yrs,15-30 Lacs PA ,Pune,3.3,115896  Reviews,Few hours ago,https://www.naukri.com/job-listings-data-analyst-tata-consultancy-services-pune-8-to-12-years-160626032798
Data Analyst,CGI,5-8 Yrs,Not Disclosed,Hybrid - Hyderabad,4.0,5499  Reviews,1 week ago,https://www.naukri.com/job-listings-data-analyst-cgi-hyderabad-5-to-8-years-080626002411
Data Analyst,Lloyds Offshore Global Services,8-15 Yrs,Not Disclosed,Hyderabad,N/A,N/A,1 week ago,https://www.naukri.com/job-listings-data-analyst-lloyds-offshore-global-services-private-limited-hyderabad-8-to-15-years-080626501161
AI and Data-Fraud Data Analyst-VG-W6-ES and F0121,EY,5-10 Yrs,Not Disclosed,Hyderabad,3.4,14833  Reviews,1 day ago,https://www.naukri.com/job-listings-ai-and-data-fraud-data-analyst-vg-w6-es-and-f0121-ernst-young-hyderabad-5-to-10-years-150626501181
Data Analyst,Ingersoll Rand,2-3 Yrs,Not Disclosed,Bengaluru,3.8,437  Reviews,Today,https://www.naukri.com/job-listings-data-analyst-ingersoll-rand-india-limited-bengaluru-2-to-3-years-160626500979
Data Analyst,Xoriant,2-7 Yrs,Not Disclosed,Hybrid - Mumbai,4.0,2345  Reviews,1 day ago,https://www.naukri.com/job-listings-data-analyst-xoriant-mumbai-2-to-7-years-150626016378
Treasury Data Analyst,Leading IT Software Company,8-13 Yrs,18-33 Lacs PA ,"Hybrid - Gurugram, Bengaluru",N/A,N/A,1 day ago,https://www.naukri.com/job-listings-treasury-data-analyst-lib-cap-infotech-gurugram-bengaluru-8-to-13-years-150626010387
Salesforce Data Analyst,Luxoft,3-7 Yrs,Not Disclosed,Pune,3.6,843  Reviews,1 week ago,https://www.naukri.com/job-listings-salesforce-data-analyst-luxoft-india-llp-pune-3-to-7-years-050626924308
Data Analyst,ti Steps,8-10 Yrs,Not Disclosed,Bengaluru,3.9,18  Reviews,1 day ago,https://www.naukri.com/job-listings-data-analyst-ti-steps-bengaluru-8-to-10-years-150626021294
Online Data Analyst - Kannada,TELUS Digital,0-2 Yrs,Not Disclosed,Remote,3.5,1960  Reviews,2 weeks ago,https://www.naukri.com/job-listings-online-data-analyst-kannada-telus-digital-bengaluru-0-to-2-years-040325916691
Data Analyst (With Python),Coforge,2-4 Yrs,Not Disclosed,Noida,3.3,8954  Reviews,2 weeks ago,https://www.naukri.com/job-listings-data-analyst-with-python-coforge-noida-2-to-4-years-010626001754
Data & AI Analyst,Pozent,0-1 Yrs,Not Disclosed,Chennai,2.3,37  Reviews,Few hours ago,https://www.naukri.com/job-listings-data-ai-analyst-pozent-chennai-0-to-1-years-160626502485
Data Analyst,Wissen Technology,2-6 Yrs,Not Disclosed,Bengaluru,3.8,682  Reviews,4 days ago,https://www.naukri.com/job-listings-data-analyst-wissen-technology-bengaluru-2-to-6-years-120626017040
DATA ANALYST,Godigi Infotech,N/A,Unpaid ,Pune,4.5,6  Reviews,Starts in 1-3 months,https://www.naukri.com/job-listings-data-analyst-godigi-infotech-pune-0-to-1-years-130126506831
Data Analyst,Wissen Technology,4-7 Yrs,10-20 Lacs PA ,Bengaluru,3.8,682  Reviews,4 days ago,https://www.naukri.com/job-listings-data-analyst-wissen-technology-bengaluru-4-to-7-years-120626024382
Data Analyst,Wissen Technology,4-7 Yrs,Not Disclosed,Bengaluru,3.8,682  Reviews,4 days ago,https://www.naukri.com/job-listings-data-analyst-wissen-technology-bengaluru-4-to-7-years-120626024271
Data Analyst,Asakta Electronics And Communications,1-2 Yrs,Not Disclosed,Visakhapatnam,3.4,16  Reviews,1 day ago,https://www.naukri.com/job-listings-data-analyst-asakta-electronics-and-communications-visakhapatnam-1-to-2-years-150626009690
Data Analyst,Edgemed Healthcare,1-4 Yrs,Not Disclosed,Mumbai,N/A,N/A,1 week ago,https://www.naukri.com/job-listings-data-analyst-edgemed-healthcare-mumbai-1-to-4-years-030626501583
Data Analyst,Skechers,1-2 Yrs,2.5-4.5 Lacs PA ,Dombivli,4.1,232  Reviews,Today,https://www.naukri.com/job-listings-data-analyst-skechers-dombivli-1-to-2-years-160626021655
Data Analyst,CGI,4-8 Yrs,8-16 Lacs PA ,Hybrid - Hyderabad,4.0,5499  Reviews,5 days ago,https://www.naukri.com/job-listings-data-analyst-cgi-hyderabad-4-to-8-years-110626015462
Data Analyst,Webtis Software Solutions,2-5 Yrs,Not Disclosed,Bareilly,5.0,4  Reviews,Few hours ago,https://www.naukri.com/job-listings-data-analyst-webtis-software-solutions-bareilly-2-to-5-years-160626503284
Data Analyst,Ashoka Builders,2-4 Yrs,Not Disclosed,Hyderabad(Gachibowli),3.7,106  Reviews,Today,https://www.naukri.com/job-listings-data-analyst-asbl-private-limited-hyderabad-2-to-4-years-160626024589
Data Analyst,Statusneo Technology Consulting,3-8 Yrs,6-13 Lacs PA ,"Hybrid - Gurugram, Bengaluru",4.1,521  Reviews,4 days ago,https://www.naukri.com/job-listings-data-analyst-statusneo-technology-consulting-gurugram-bengaluru-3-to-8-years-120626005280
Data Analyst,Movate Technologies,5-7 Yrs,18-20 Lacs PA ,Gurugram,3.1,2676  Reviews,1 day ago,https://www.naukri.com/job-listings-data-analyst-movate-technologies-gurugram-5-to-7-years-140626003369
Data Analyst(SJ-IQ),SE Mentor,4-9 Yrs,Not Disclosed,Kochi,3.6,75  Reviews,Today,https://www.naukri.com/job-listings-data-analyst-sj-iq-se-mentor-solutions-p-ltd-kochi-4-to-9-years-160626500777
Data Analyst,Ascendion Engineering,2-7 Yrs,Not Disclosed,Hybrid - Mumbai,N/A,N/A,1 week ago,https://www.naukri.com/job-listings-data-analyst-ascendion-engineering-mumbai-2-to-7-years-050626009935
Data Analyst,NNE,2-7 Yrs,Not Disclosed,Bengaluru,3.5,173  Reviews,6 days ago,https://www.naukri.com/job-listings-data-analyst-nne-pharmaplan-bengaluru-2-to-7-years-100626506004
People Data Analyst,Ventra Health,1-4 Yrs,Not Disclosed,Chennai,3.1,239  Reviews,Today,https://www.naukri.com/job-listings-people-data-analyst-ventra-health-chennai-1-to-4-years-160626022049
Data Analyst,Krazy Mantra It,8-14 Yrs,Not Disclosed,"Pune, Chennai",3.7,93  Reviews,1 day ago,https://www.naukri.com/job-listings-data-analyst-krazy-mantra-it-pvt-ltd-pune-chennai-8-to-14-years-150626501607
Data Analyst,Cradlepoint,6-11 Yrs,Not Disclosed,Noida,3.6,18  Reviews,4 days ago,https://www.naukri.com/job-listings-data-analyst-cradlepoint-part-of-ericsson-noida-6-to-11-years-120626504002
Data Analyst,Sopra Steria,3-5 Yrs,Not Disclosed,Noida,3.9,2352  Reviews,1 week ago,https://www.naukri.com/job-listings-data-analyst-sopra-steria-noida-3-to-5-years-090626017461
Data Analyst,ADA Global,0-1 Yrs,Not Disclosed,Bengaluru,4.0,6  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-ada-global-bengaluru-0-to-1-years-060226501811
Data Analyst,Sisco Jobs,0-1 Yrs,Not Disclosed,Thrissur,3.2,7  Reviews,1 week ago,https://www.naukri.com/job-listings-data-analyst-sisco-jobs-thrissur-0-to-1-years-030626504229
Data Analyst,Wipro,2-4 Yrs,5-12 Lacs PA ,Hybrid - Bengaluru,3.6,65870  Reviews,1 week ago,https://www.naukri.com/job-listings-data-analyst-wipro-bengaluru-2-to-4-years-050626012251
Data Analyst,Indium Corporation,2-5 Yrs,Not Disclosed,Bengaluru,N/A,N/A,5 days ago,https://www.naukri.com/job-listings-data-analyst-indium-corporation-bengaluru-2-to-5-years-110626503152
Data Analyst,Indium Corporation,2-5 Yrs,Not Disclosed,Bengaluru,N/A,N/A,5 days ago,https://www.naukri.com/job-listings-data-analyst-indium-corporation-bengaluru-2-to-5-years-110626503758
Data Analyst-Gurgaon,EY,5-10 Yrs,Not Disclosed,"Hybrid - New Delhi, Gurugram, Delhi / NCR",3.4,14833  Reviews,Today,https://www.naukri.com/job-listings-data-analyst-gurgaon-ey-new-delhi-gurugram-delhi-ncr-5-to-10-years-160626012999
Data Analyst,Indium Corporation,1-2 Yrs,Not Disclosed,Hyderabad,N/A,N/A,5 days ago,https://www.naukri.com/job-listings-data-analyst-indium-corporation-hyderabad-1-to-2-years-110626503446
Data Analyst,Indium Corporation,2-5 Yrs,Not Disclosed,Hyderabad,N/A,N/A,5 days ago,https://www.naukri.com/job-listings-data-analyst-indium-corporation-hyderabad-2-to-5-years-110626503149
Data Analyst,Vrinda International,2-6 Yrs,Not Disclosed,Coimbatore,N/A,N/A,1 week ago,https://www.naukri.com/job-listings-data-analyst-vrinda-international-coimbatore-2-to-6-years-090626504509
Data Analyst,Wissen Technology,2-6 Yrs,Not Disclosed,Bengaluru,3.8,682  Reviews,4 days ago,https://www.naukri.com/job-listings-data-analyst-wissen-technology-bengaluru-2-to-6-years-120626014210
Data Analyst,Rentomojo,2-5 Yrs,Not Disclosed,Bengaluru,3.7,267  Reviews,5 days ago,https://www.naukri.com/job-listings-data-analyst-rentomojo-bengaluru-2-to-5-years-110626501796
Data Analyst,Kiya.ai,5-7 Yrs,5-11 Lacs PA ,"Hybrid - Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)",3.9,644  Reviews,3 days ago,https://www.naukri.com/job-listings-data-analyst-kiya-ai-mumbai-suburban-navi-mumbai-mumbai-all-areas-5-to-7-years-050626009639
Data Analyst (IoT),Log9 Materials,0-6 Yrs,Not Disclosed,Bengaluru,3.3,152  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-iot-log9-materials-bengaluru-0-to-6-years-110325506630
Data Analyst,Themathcompany,5-7 Yrs,Not Disclosed,Bengaluru,3.1,517  Reviews,1 week ago,https://www.naukri.com/job-listings-data-analyst-themathcompany-bengaluru-5-to-7-years-050626010717
Data Analyst,Creditsafe,4-6 Yrs,Not Disclosed,Hyderabad,3.0,27  Reviews,5 days ago,https://www.naukri.com/job-listings-data-analyst-creditsafe-technology-hyderabad-4-to-6-years-110626501737
Data Analyst,Themathcompany,4-6 Yrs,Not Disclosed,Bengaluru,3.1,517  Reviews,1 week ago,https://www.naukri.com/job-listings-data-analyst-themathcompany-bengaluru-4-to-6-years-080626500943
Data Analyst,Diverse Lynx,5-7 Yrs,Not Disclosed,Bengaluru,3.4,389  Reviews,6 days ago,https://www.naukri.com/job-listings-data-analyst-diverse-lynx-bengaluru-5-to-7-years-100626503519
Data Analyst - Service Now,Virtusa,8-12 Yrs,Not Disclosed,"Hybrid - Hyderabad, Chennai, Bengaluru",3.7,6200  Reviews,1 week ago,https://www.naukri.com/job-listings-data-analyst-service-now-virtusa-hyderabad-chennai-bengaluru-8-to-12-years-050626006353
Data Analyst,Acciojob,0-2 Yrs,4-9 Lacs PA ,"Chennai, Bengaluru",3.5,115  Reviews,3 weeks ago,https://www.naukri.com/job-listings-data-analyst-acciojob-chennai-bengaluru-0-to-2-years-260526033652
Data Analyst,City Montessori School (CMS),0-3 Yrs,Not Disclosed,Lucknow,3.5,217  Reviews,2 weeks ago,https://www.naukri.com/job-listings-data-analyst-city-montessori-school-cms-lucknow-0-to-3-years-300526014475
Data Analyst,Tata Consultancy Services,4-8 Yrs,25-40 Lacs PA ,"Pune, Bengaluru",3.3,115896  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-tata-consultancy-services-pune-bengaluru-4-to-8-years-190526010408
Data analyst,Inginit,0-3 Yrs,Not Disclosed,Mumbai,4.4,7  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-inginit-mumbai-0-to-3-years-020925501272
Data Analyst,Ample Softech System,0-3 Yrs,"50,000-2.5 Lacs PA ","Nagpur, Pune",4.7,51  Reviews,2 weeks ago,https://www.naukri.com/job-listings-data-analyst-ample-softech-system-nagpur-pune-0-to-3-years-270426007790
Data Analyst,Nestle,1-3 Yrs,Not Disclosed,Gurugram,3.8,2797  Reviews,1 week ago,https://www.naukri.com/job-listings-data-analyst-nestle-gurugram-1-to-3-years-040626018696
Data Analyst,Clustor Computing,0-2 Yrs,Not Disclosed,Nagpur,3.9,17  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-cluster-computing-nagpur-0-to-2-years-190326505544
Data Analyst,E4 Softwares,0-3 Yrs,Not Disclosed,Mumbai,3.7,14  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-e4-softwares-mumbai-0-to-3-years-170426502441
Data Analyst,Ebizneeds (India) Internet Solutions Pvt. Ltd,0-3 Yrs,Not Disclosed,Jaipur,3.4,27  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-ebizneeds-india-internet-solutions-pvt-ltd-jaipur-0-to-3-years-140725501950
Data Analyst,Maven Marketing,0-7 Yrs,Not Disclosed,Chennai,4.1,50  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-maven-marketing-private-limited-chennai-0-to-7-years-260326501210
Data Analyst,Puresoftware Technology,3-7 Yrs,10-18 Lacs PA ,Hybrid - Gurugram,2.9,589  Reviews,4 days ago,https://www.naukri.com/job-listings-data-analyst-puresoftware-technology-gurugram-3-to-7-years-120626019009
Data Analyst - 10th April - Virtual Interview - Pan India,Tata Consultancy Services,7-12 Yrs,Not Disclosed,"India, Bengaluru, Mumbai (All Areas)",3.3,115896  Reviews,2 weeks ago,https://www.naukri.com/job-listings-data-analyst-10th-april-virtual-interview-pan-india-tata-consultancy-services-bengaluru-mumbai-all-areas-india-7-to-12-years-090426005873
Data Analyst,Legistify,0-1 Yrs,Not Disclosed,Gurugram,2.3,12  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-legistify-gurugram-0-to-1-years-221124503733
Data Analyst - 5th Mar (Thursday)- Virtual Interview- Pan India,Tata Consultancy Services,8-13 Yrs,Not Disclosed,"India, Kolkata, Hyderabad",3.3,115896  Reviews,1 week ago,https://www.naukri.com/job-listings-data-analyst-5th-mar-thursday-virtual-interview-pan-india-tata-consultancy-services-kolkata-hyderabad-india-8-to-13-years-190226007827
Data Analyst - Noida,Optum,4-8 Yrs,16-25 Lacs PA ,Hybrid - Noida,4.0,8091  Reviews,1 week ago,https://www.naukri.com/job-listings-data-analyst-noida-optum-noida-4-to-8-years-030626027156
Data Analyst (Deployment),Legistify,0-2 Yrs,Not Disclosed,Gurugram,2.3,12  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-deployment-legistify-gurugram-0-to-2-years-221124503740
Data Analyst,Aaheli Consultants,5-8 Yrs,Not Disclosed,"Hybrid - Gurugram, Bengaluru",N/A,N/A,1 week ago,https://www.naukri.com/job-listings-data-analyst-aaheli-consultants-gurugram-bengaluru-5-to-8-years-040626029060
AI / ML - Data Analyst,Satven,5-9 Yrs,Not Disclosed,Chennai,3.4,371  Reviews,2 weeks ago,https://www.naukri.com/job-listings-ai-ml-data-analyst-satyam-venture-engineering-services-chennai-5-to-9-years-020626502214
Data Analyst,Indian School of Business & Finance (ISBF),2-5 Yrs,Not Disclosed,"Prayagraj, Varanasi, Ghaziabad, Kanpur, Lucknow, Agra",3.6,5  Reviews,2 weeks ago,https://www.naukri.com/job-listings-data-analyst-indian-school-of-business-and-finance-prayagraj-varanasi-ghaziabad-kanpur-lucknow-agra-2-to-5-years-010626503487
Data Analyst,Acciojob,0-2 Yrs,4-9 Lacs PA ,"Noida, Hyderabad, Pune",3.5,115  Reviews,3 weeks ago,https://www.naukri.com/job-listings-data-analyst-acciojob-noida-hyderabad-pune-0-to-2-years-260526033072
Data Analyst,Magellanic Cloud,5-8 Yrs,8-18 Lacs PA ,"Hyderabad, Pune, Bengaluru",2.0,41  Reviews,2 weeks ago,https://www.naukri.com/job-listings-data-analyst-magellanic-cloud-hyderabad-pune-bengaluru-5-to-8-years-010626002873
Data Analyst,Nineleaps,2-4 Yrs,Not Disclosed,Bengaluru,4.2,236  Reviews,2 weeks ago,https://www.naukri.com/job-listings-data-analyst-nineleaps-bengaluru-2-to-4-years-290526505346
Fresher - Data Analyst,Zyphra Tech Solutions Inc,N/A,Unpaid ,Hyderabad,N/A,N/A,Starts in 1-3 months,https://www.naukri.com/job-listings-fresher-data-analyst-zyphra-tech-solutions-inc-hyderabad-1-to-6-years-080626502593
Data Analyst,Kawen Manpower,1-4 Yrs,Not Disclosed,Bengaluru,N/A,N/A,1 week ago,https://www.naukri.com/job-listings-data-analyst-kawen-manpower-bengaluru-1-to-4-years-050626502645
Walk-in || Data Analyst,Indmax It Services,N/A,Not Disclosed,N/A,3.7,58  Reviews,Today,https://www.naukri.com/job-listings-data-analyst-indmax-it-services-hyderabad-1-to-2-years-160626024661
