Title,Company,Experience,Salary,Location,Rating,Reviews,Posted,Link
Data Analyst,Wissen Research,2-5 Yrs,Not Disclosed,Mohali,3.1,6  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-wissen-research-private-limited-mohali-2-to-5-years-100325501624
Data Analyst,T&N Business Services,2-5 Yrs,Not Disclosed,Gurugram,4.7,163  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-tn-business-services-private-limited-gurugram-2-to-5-years-091122500524
Data Analyst,Analytics Vidhya,1-3 Yrs,Not Disclosed,Gurugram,3.8,63  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-analytics-vidhya-educon-pvt-ltd-gurugram-1-to-3-years-091025500308
"Data Analyst, AdTech/Omnichannel",Pulsepoint,3-5 Yrs,Not Disclosed,Mumbai,5.0,2  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-adtech-omnichannel-pulsepoint-mumbai-3-to-5-years-090925502254
Data Analyst,Leanquality Solutions,1-2 Yrs,Not Disclosed,Pune,4.1,42  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-leanquality-solutions-pune-1-to-2-years-090625503525
Data Analyst Logistics Domain,Elevati Infotech,3-7 Yrs,Not Disclosed,Pune,4.5,13  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-logistics-domain-elevati-infotech-pvt-ltd-pune-3-to-7-years-090525501206
Data Analyst,Konceptogen Healthcare,2-5 Yrs,Not Disclosed,Pune,N/A,N/A,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-konceptogen-pune-2-to-5-years-090424500331
Data Analyst,Moris Media,2-3 Yrs,Not Disclosed,Noida,4.4,144  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-moris-media-noida-2-to-3-years-090326501673
Data Analyst,Tactgen,3-8 Yrs,Not Disclosed,Madurai,N/A,N/A,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-tactgen-madurai-3-to-8-years-090125502812
Data Analyst,IDESLABS,6-10 Yrs,Not Disclosed,Hyderabad,3.8,23  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-ideslabs-private-limited-hyderabad-6-to-10-years-071223501973
Data Analyst,VDart Software Services,5-7 Yrs,Not Disclosed,Tiruchirapalli,4.0,196  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-vdartinc-tiruchirapalli-5-to-7-years-071125501911
Data Analyst,Aloola,4-9 Yrs,Not Disclosed,Surat,4.7,14  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-aloola-tech-pvt-ltd-surat-4-to-9-years-071124500988
Data Analysts,Digicommerce Solutions,4-6 Yrs,Not Disclosed,Noida,4.6,137  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analysts-digicommerce-solution-llp-noida-4-to-6-years-070325502495
Data Analyst,Btree Systems (opc),5-10 Yrs,Not Disclosed,Chennai,4.3,13  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-btree-systems-chennai-5-to-10-years-061123500260
Data Analyst,PSRTEK,7-12 Yrs,Not Disclosed,Chennai,4.3,50  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-psr-tek-chennai-7-to-12-years-060426501923
Data Analyst,Indium Software,1-4 Yrs,Not Disclosed,Hyderabad,3.9,1372  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-indium-software-hyderabad-1-to-4-years-060326505531
Data Analyst,Nexzu Mobility,1-6 Yrs,Not Disclosed,Pune,2.0,22  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-nexzu-mobility-pune-1-to-6-years-060225506135
Sensing Data Analyst,Geoconsultants India Services,2-4 Yrs,Not Disclosed,Hyderabad,N/A,N/A,3+ weeks ago,https://www.naukri.com/job-listings-sensing-data-analyst-geoconsultants-india-services-hyderabad-2-to-4-years-051225502735
Data Analyst - Attribution,Numerator,1-4 Yrs,Not Disclosed,Vadodara,3.9,267  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-attribution-numerator-vadodara-1-to-4-years-050825502597
Data Analyst,Bharatnxt,1-2 Yrs,Not Disclosed,Mumbai,4.6,11  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-fcap-technologies-mumbai-1-to-2-years-050325500898
Data Analyst:,Azmarq,2-4 Yrs,Not Disclosed,Noida,5.0,7  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-azmarq-technovation-pvt-ltd-noida-2-to-4-years-041124500593
Data Analyst,Techster It Services,1-3 Yrs,Not Disclosed,Chennai,N/A,N/A,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-techster-it-services-chennai-1-to-3-years-040925500244
